site,mae,mse,r2
970,438.0474345948961,310410.30350404565,0.8848216126975871
2000,394.7038511629458,260608.81879447374,0.8935696675813611
2200,254.74334256516562,106038.15881442533,0.8780236426935707
2820,219.10650556286177,78228.00050801871,0.7939010994312437
2825,127.95371622509427,28702.122164390326,0.8233149050993208
2827,398.47444417741565,223813.75267183746,0.8637985158351978
2846,201.62964446014828,86163.9721582359,0.8685967553039146
3001,324.6288962894016,171690.04511255887,0.8364719422889186
3002,388.08701146443684,238099.14298699555,0.842589898243902
3120,223.16590351528598,86284.43604252912,0.906347304056466
3122,269.61630874209936,112193.46993150811,0.8901523119310074
3126,207.264206038581,93703.42871702669,0.9130373169788797
3127,308.59974047342934,150552.78339019138,0.8422363878940115
3180,217.2633404797978,84354.68267956117,0.8141506769310584
3662,344.88219810194437,188016.1015563045,0.8560786197987096
3682,377.4247699878834,212085.30955339543,0.829688310401856
3685,331.61162906222876,139767.9532704061,0.7017454093275264
3804,278.7894986271858,143078.15846743237,0.8894163386341741
3812,315.1882213221656,204605.9063929153,0.8172110944219584
4030,173.73597309324475,45708.90397135585,0.8868896305043337
4032,259.23544857237073,122708.33918312329,0.8993536328099812
4034,241.11028382513257,109265.43550221373,0.9168283247638487
4035,245.50277516576978,99629.09583147914,0.9111997690871133
4040,230.07786003748575,86643.35021676845,0.9049854005948224
4043,328.1815080775155,169688.89532435001,0.8973399017712981
4051,110.16521093332105,22933.134331695932,0.8623111368479285
4057,335.7267155018118,200078.88469439532,0.778754014578319
4063,197.77082074185213,72398.61399510817,0.9106572827862067
4262,138.7631872812907,27908.071043070937,0.7290999379214409
4263,380.16265462239585,232933.89825051138,0.8167878988905983
4264,311.2369539472792,136693.52878324196,0.768427817666272
4266,311.6940566831165,168095.619734125,0.878567047119489
4270,258.07208908928766,103888.44070826733,0.8679011569064566
4272,173.75890727724348,52096.56348750682,0.8814105242841286
4273,156.9796140525076,48389.25766913519,0.8740259559538689
4321,211.9077326655388,82374.24853314139,0.858111707414752
4324,140.6355932884746,38389.97905884947,0.8853512829444352
4335,167.36197702089945,51367.19671829948,0.867079806378731
4812,268.79126631418865,108898.3915511805,0.7683542932477336
4821,197.2658522990015,66479.78897441972,0.9073686669952341
